#,FORM #,Image,,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,Accessibility-1,What do you know about this submission?-1,Is this temporary?-1,FIRST NAME,LAST NAME,EMAIL,APPROVED,VERIFIED
489,1,https://drive.google.com/file/d/0B5to-PIZsWUja3owaVVESEdQV2M/view?usp=sharing,,95th st mural,41929.37222,95th street,95th st mural #openartyeg http://t.co/LD53mFNQUA,Public Art,53.554329,-113.483829,Exterior,I don't know anything about it,Permanent,,,,YES,YES
488,1,https://drive.google.com/file/d/0B5to-PIZsWUjZFAwcVRBSzkwb0k/view?usp=sharing,,Listen bird in Mill Creek Ravine,41925.55278,Mill Creek Ravine,Listen bird in Mill Creek Ravine. #openartyeg http://t.co/M11Ql8ceyW,Public Art,53.531156,-113.483792,Exterior,I don't know anything about it,Permanent,,,,YES,YES
487,1,https://drive.google.com/file/d/0B5to-PIZsWUjSXRiQ09tUUk2djg/view?usp=sharing,,Mosaics in Caputo park,41929.39583,Caputo Park,Mosaics in Caputo park #openartyeg http://t.co/TVILbzzEjR,Public Art,53.556244,-113.48535,Exterior,I don't know anything about it,Permanent,,,,YES,YES
486,1,https://drive.google.com/file/d/0B5to-PIZsWUjcFRSQlBHMzExa0E/view?usp=sharing,,Statue at Caputo park,41929.39653,Caputo Park,Statue at Caputo park #openartyeg http://t.co/HbTzUvbkwp,Public Art,53.556226,-113.485324,Exterior,I don't know anything about it,Permanent,,,,YES,YES
485,1,https://drive.google.com/file/d/0B5to-PIZsWUjeGEwb0xGRGstekE/view?usp=sharing,,Mural Caputo park,41929.39653,Caputo Park,Mural Caputo park #openartyeg http://t.co/zCJsVh1Wf9,Public Art,53.556295,-113.48509,Exterior,I don't know anything about it,Permanent,,,,YES,YES
484,1,https://drive.google.com/file/d/0B5to-PIZsWUjVk1RaFN1NlZYSHc/view?usp=sharing,,Little Italy Trash Can,41929.39722,Caputo Park,Lots of painted trash cans around the city #openartyeg http://t.co/Y9eQBOEAqh,Public Art,53.556255,-113.484313,Exterior,I don't know anything about it,Permanent,,,,YES,YES
483,1,https://drive.google.com/file/d/0B5to-PIZsWUjTzZvTzRfYTBQa3M/view?usp=sharing,,Italian Centre mosaic,41929.39861,Italian Centre,@ItalianCentre mosaic #openartyeg http://t.co/CSUB1KO8z8,Public Art,53.556244,-113.48494,Exterior,I don't know anything about it,Permanent,,,,YES,YES
482,1,https://drive.google.com/file/d/0B5to-PIZsWUjM3dPNHVyMVJtSkk/view?usp=sharing,,little Sculpture,41930.67639,115 st,Hidden in a corner 10546 115st #openartyeg http://t.co/bkDANEVHBB,Public Art,53.548846,-113.51949,Exterior,I don't know anything about it,Permanent,,,,YES,YES
481,1,https://drive.google.com/file/d/0B5to-PIZsWUjc3k2U1NTVjFjRWM/view?usp=sharing,,photo outside of tix on the square,41937.51597,Tix on the Square,#openartyeg photo outside of tix on the square. Don't know what of... http://t.co/A4P38H7sSf,Public Art,53.544493,-113.493737,Exterior,I don't know anything about it,Permanent,,,,YES,YES
480,1,https://drive.google.com/file/d/0B5to-PIZsWUjOVhoTy1sTm9BdUU/view?usp=sharing,,"""It shor ain't the town it used to be"" sculpture",41936.74722,City Centre Mall West,"sculpture,  #openartyeg hashtag. ""It shor ain't the town it used to be"" in city centre west mall http://t.co/53x5Vk6ZPS",Public Art,53.544493,-113.493737,Exterior,I don't know anything about it,Permanent,,,,YES,YES
